"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B1","56436","72185","Business Management and Improvement","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B1","56436","72185","Corporate Support","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B1","56436","72185","Finance","1","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B2","47942","59535","Business Management and Improvement","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B2","47942","59535","Communication and Media","1","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B2","47942","59535","Corporate Support","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B2","47942","59535","Finance","2","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B2","47942","59535","HR Officer","1","Human Resources"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B2","47942","59535","Information","3","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","B2","47942","59535","Not in post","2","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C1","35648","44268","Business Management and Improvement","2.5","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C1","35648","44268","Communication and Media","5","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C1","35648","44268","Corporate Support","3","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C1","35648","44268","Finance","6.62","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C1","35648","44268","Information","1","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C1","35648","44268","Programme and Project Management","1","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C1","35648","44268","Not in post","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","Business Management and Improvement","7","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","Commercial","1","Procurement"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","Communication and Media","8.8","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","Corporate Support","6","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","Finance","11.91","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","HR Officer","1","Human Resources"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","Information","3","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","Other","14","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","Programme and Project Management","1","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","Corporate Support","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2","29258","36333","Not in post","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2 MSF","29258","36333","Other","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2 MSF","29258","36333","Business Management and Improvement","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2 MSF","29258","36333","Information","1","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","C2 MSF","29258","36333","Other","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","D","23427","29092","Business Management and Improvement","8.7","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","D","23427","29092","Communication and Media","8","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","D","23427","29092","Corporate Support","7.94","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","D","23427","29092","Finance","22.45","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","D","23427","29092","Information","2","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","D","23427","29092","Not in post","3","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","E1","18370","22124","Business Management and Improvement","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","E1","18370","22124","Communication and Media","5.43","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","E1","18370","22124","Corporate Support","12.62","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","E1","18370","22124","Finance","21","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","E1","18370","22124","Information","4.35","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","E1","18370","22124","Corporate Support","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","E1","18370","22124","Not in post","2","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","E2","15623","18815","Corporate Support","12.75","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","E2","15623","18815","Corporate Support","5.6","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF2","37916","45090","Military","31","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF3","47760","57200","Military","53","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF4","67032","77617","Military","29","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF5","81310","89408","Military","13","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR1-3","17515","28940","Military","3","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR4","26405","33182","Military","3","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR4 (RFA)","26405","33182","Capability Management & Force Generation","1","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR5-6","30013","36929","Military","12","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR7-8","33223","43252","Military","14","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR9","38600","46753","Military","3","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","Skill Zone 1","15083","16482","Corporate Support","6.81","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","Skill Zone 2","16482","18010","Other","6","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","Skill Zone 2","16482","18010","Not in post","7","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","Skill Zone 3","18010","22150","Corporate Support","2","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","B1","56436","72185","Estates","1","Property and asset management"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","B2","47942","59535","Business Management and Improvement","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","B2","47942","59535","Engineering and Science","3","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C1","35648","44268","Business Management and Improvement","9.91","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C1","35648","44268","Corporate Support","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C1","35648","44268","Engineering and Science","8","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C1","35648","44268","Information","3","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C1","35648","44268","Programme and Project Management","1","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C1","35648","44268","Security, Health and Safety","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C1 MSF","35648","44268","Corporate Support","2","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C1 MSF","35648","44268","Defence Policy and Commitments","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C1 MSF","35648","44268","Environment and Sustainability","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C1 MSF","35648","44268","Estates","1","Property and asset management"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","Business Management and Improvement","17","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","Communication and Media","2.64","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","Corporate Support","3.81","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","Engineering and Science","20.94","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","Estates","1","Property and asset management"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","HR Officer","0.62","Human Resources"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","Information","14.18","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","Other","3","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","Programme and Project Management","6","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","Security, Health and Safety","5","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2","29258","36333","Training and Education","14.6","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2 MSF","29258","36333","Business Management and Improvement","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2 MSF","29258","36333","Communication and Media","1","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2 MSF","29258","36333","Corporate Support","0.6","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2 MSF","29258","36333","Security, Health and Safety","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","C2 MSF","29258","36333","Training and Education","7","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","Civilian Medical Practitioner","65071","77303","Health Professionals","8.42","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Business Management and Improvement","10.53","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Communication and Media","2","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Corporate Support","18.63","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Intelligence Analysis","3","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Defence Policy and Commitments","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Engineering and Science","26","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Environment and Sustainability","5","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Information","31.35","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Other","9","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Security, Health and Safety","3","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D","23427","29092","Training and Education","24.81","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D MSF","23427","29092","Corporate Support","1","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","D MSF","23427","29092","Security, Health and Safety","8","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","E1","18370","22124","Business Management and Improvement","1.94","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","E1","18370","22124","Communication and Media","7","Communications"
